timestamp,v_pv,i_pv,p_pv,wh_pv_daily,v_bat,i_bat,p_bat,scc_eff,load_status,uptime_sec,esp_temp,free_heap,wifi_rssi,sd_status
2026-09-01 00:00:00,17.09,1.41,24.10,4.02,12.97,1.73,22.46,93.2,ON,86400,35.1,216592,-67,MOUNTED
2026-09-01 00:10:00,17.17,1.54,26.44,8.42,13.01,1.90,24.72,93.5,ON,87000,35.9,223646,-65,MOUNTED
2026-09-01 00:20:00,17.37,1.87,32.48,13.84,13.12,2.32,30.43,93.7,ON,87600,35.9,220349,-67,MOUNTED
2026-09-01 00:30:00,17.47,2.03,35.46,19.75,13.18,2.53,33.33,94.0,ON,88200,36.6,217902,-63,MOUNTED
2026-09-01 00:40:00,17.56,2.17,38.11,26.10,13.22,2.72,35.90,94.2,ON,88800,37.0,218945,-62,MOUNTED
2026-09-01 00:50:00,17.57,2.19,38.48,32.51,13.23,2.75,36.36,94.5,ON,89400,37.6,217618,-63,MOUNTED
2026-09-01 01:00:00,17.81,2.57,45.77,40.14,13.36,3.25,43.39,94.8,ON,90000,38.2,222790,-65,MOUNTED
2026-09-01 01:10:00,17.86,2.64,47.15,48.00,13.38,3.35,44.79,95.0,ON,90600,39.0,220078,-64,MOUNTED
2026-09-01 01:20:00,17.98,2.84,51.06,56.51,13.45,3.61,48.61,95.2,ON,91200,38.2,225171,-65,MOUNTED
2026-09-01 01:30:00,18.10,3.04,55.02,65.68,13.51,3.89,52.54,95.5,ON,91800,39.3,214644,-65,MOUNTED
2026-09-01 01:40:00,18.31,3.36,61.52,75.93,13.62,4.32,58.87,95.7,ON,92400,40.1,220569,-63,MOUNTED
2026-09-01 01:50:00,18.28,3.32,60.69,86.05,13.61,4.28,58.20,95.9,ON,93000,40.4,219787,-66,MOUNTED
2026-09-01 02:00:00,18.51,3.68,68.12,97.40,13.73,4.77,65.46,96.1,ON,93600,41.2,217848,-65,MOUNTED
2026-09-01 02:10:00,18.56,3.76,69.79,109.03,13.75,4.89,67.21,96.3,ON,94200,41.7,219588,-63,MOUNTED
2026-09-01 02:20:00,18.80,4.14,77.83,122.00,13.88,5.41,75.11,96.5,ON,94800,42.2,219291,-66,MOUNTED
2026-09-01 02:30:00,18.58,3.79,70.42,133.74,13.76,4.95,68.10,96.7,ON,95400,41.3,221101,-65,MOUNTED
2026-09-01 02:40:00,18.76,4.08,76.54,146.50,13.86,5.35,74.09,96.8,ON,96000,43.1,214602,-65,MOUNTED
2026-09-01 02:50:00,19.05,4.53,86.30,160.88,14.01,5.98,83.71,97.0,ON,96600,43.3,225628,-62,MOUNTED
2026-09-01 03:00:00,18.87,4.25,80.20,174.25,13.92,5.59,77.87,97.1,ON,97200,43.4,220052,-65,MOUNTED
2026-09-01 03:10:00,19.03,4.51,85.83,188.55,14.00,5.97,83.51,97.3,ON,97800,43.6,215404,-63,MOUNTED
2026-09-01 03:20:00,19.31,4.96,95.78,204.52,14.15,6.59,93.29,97.4,ON,98400,45.0,225013,-65,MOUNTED
2026-09-01 03:30:00,19.04,4.53,86.25,218.89,14.01,6.00,84.09,97.5,ON,99000,44.4,215416,-63,MOUNTED
2026-09-01 03:40:00,19.12,4.65,88.91,233.71,14.05,6.18,86.78,97.6,ON,99600,44.8,215498,-66,MOUNTED
2026-09-01 03:50:00,19.05,4.55,86.68,248.16,14.02,6.04,84.69,97.7,ON,100200,44.4,212461,-62,MOUNTED
2026-09-01 04:00:00,19.16,4.72,90.44,263.23,14.07,6.29,88.45,97.8,ON,100800,44.6,219173,-64,MOUNTED
2026-09-01 04:10:00,19.36,5.03,97.38,279.46,14.18,6.72,95.24,97.8,ON,101400,46.0,224101,-65,MOUNTED
2026-09-01 04:20:00,19.45,5.18,100.75,296.25,14.23,6.93,98.63,97.9,ON,102000,45.3,216749,-64,MOUNTED
2026-09-01 04:30:00,19.54,5.33,104.15,313.61,14.28,7.14,101.96,97.9,ON,102600,46.6,222549,-64,MOUNTED
2026-09-01 04:40:00,19.51,5.27,102.82,330.75,14.26,7.07,100.76,98.0,ON,103200,45.8,213050,-64,MOUNTED
2026-09-01 04:50:00,19.64,5.49,107.82,348.72,14.33,7.37,105.66,98.0,ON,103800,46.7,224674,-65,MOUNTED
2026-09-01 05:00:00,19.18,4.75,91.11,363.90,14.08,6.34,89.29,98.0,ON,104400,44.3,221585,-67,MOUNTED
2026-09-01 05:10:00,19.45,5.17,100.56,380.66,14.22,6.93,98.55,98.0,ON,105000,45.7,223701,-62,MOUNTED
2026-09-01 05:20:00,19.51,5.28,103.01,397.83,14.26,7.08,100.95,98.0,ON,105600,46.7,223946,-63,MOUNTED
2026-09-01 05:30:00,19.37,5.06,98.01,414.16,14.19,6.76,95.95,97.9,ON,106200,45.3,221521,-66,MOUNTED
2026-09-01 05:40:00,19.30,4.94,95.34,430.05,14.15,6.60,93.34,97.9,ON,106800,44.4,221094,-67,MOUNTED
2026-09-01 05:50:00,19.12,4.66,89.10,444.90,14.05,6.20,87.14,97.8,ON,107400,44.4,220579,-64,MOUNTED
2026-09-01 06:00:00,19.34,5.01,96.89,461.05,14.17,6.69,94.76,97.8,ON,108000,45.7,225180,-63,MOUNTED
2026-09-01 06:10:00,19.10,4.62,88.24,475.76,14.04,6.14,86.21,97.7,ON,108600,43.4,213988,-63,MOUNTED
2026-09-01 06:20:00,19.32,4.98,96.21,491.79,14.16,6.63,93.90,97.6,ON,109200,44.5,216693,-64,MOUNTED
2026-09-01 06:30:00,19.39,5.08,98.50,508.21,14.19,6.77,96.04,97.5,ON,109800,45.3,223723,-65,MOUNTED
2026-09-01 06:40:00,18.93,4.35,82.35,521.93,13.95,5.75,80.21,97.4,ON,110400,43.6,223983,-63,MOUNTED
2026-09-01 06:50:00,18.97,4.42,83.85,535.91,13.97,5.84,81.59,97.3,ON,111000,43.6,217124,-66,MOUNTED
2026-09-01 07:00:00,18.86,4.25,80.16,549.27,13.92,5.59,77.84,97.1,ON,111600,42.4,225836,-63,MOUNTED
2026-09-01 07:10:00,18.74,4.05,75.90,561.92,13.85,5.32,73.62,97.0,ON,112200,42.3,218832,-63,MOUNTED
2026-09-01 07:20:00,19.01,4.48,85.16,576.11,13.99,5.89,82.43,96.8,ON,112800,43.6,223426,-66,MOUNTED
2026-09-01 07:30:00,18.57,3.77,70.01,587.78,13.76,4.92,67.70,96.7,ON,113400,41.4,224562,-65,MOUNTED
2026-09-01 07:40:00,18.56,3.77,69.97,599.44,13.76,4.91,67.52,96.5,ON,114000,41.5,223415,-62,MOUNTED
2026-09-01 07:50:00,18.45,3.58,66.05,610.45,13.69,4.65,63.61,96.3,ON,114600,40.3,215332,-67,MOUNTED
2026-09-01 08:00:00,18.58,3.79,70.42,622.19,13.76,4.92,67.67,96.1,ON,115200,41.7,224030,-66,MOUNTED
2026-09-01 08:10:00,18.25,3.27,59.68,632.13,13.59,4.21,57.23,95.9,ON,115800,39.3,225917,-63,MOUNTED
2026-09-01 08:20:00,18.29,3.33,60.91,642.29,13.61,4.28,58.29,95.7,ON,116400,40.0,218042,-62,MOUNTED
2026-09-01 08:30:00,18.14,3.10,56.23,651.66,13.53,3.97,53.70,95.5,ON,117000,39.7,215222,-65,MOUNTED
2026-09-01 08:40:00,17.93,2.75,49.31,659.88,13.42,3.50,46.94,95.2,ON,117600,38.4,223090,-62,MOUNTED
2026-09-01 08:50:00,18.01,2.88,51.87,668.52,13.46,3.66,49.28,95.0,ON,118200,38.8,222295,-65,MOUNTED
2026-09-01 09:00:00,17.86,2.65,47.33,676.41,13.38,3.35,44.87,94.8,ON,118800,38.8,218765,-66,MOUNTED
2026-09-01 09:10:00,17.66,2.33,41.15,683.27,13.28,2.93,38.89,94.5,ON,119400,37.7,218011,-62,MOUNTED
2026-09-01 09:20:00,17.61,2.24,39.45,689.84,13.25,2.80,37.16,94.2,ON,120000,36.7,213504,-65,MOUNTED
2026-09-01 09:30:00,17.35,1.84,31.92,695.16,13.11,2.29,30.00,94.0,ON,120600,35.6,218799,-65,MOUNTED
2026-09-01 09:40:00,17.37,1.87,32.48,700.58,13.12,2.32,30.43,93.7,ON,121200,35.5,217175,-67,MOUNTED
2026-09-01 09:50:00,17.10,1.44,24.62,704.68,12.98,1.77,23.02,93.5,ON,121800,34.8,223029,-62,MOUNTED
2026-09-01 10:00:00,16.98,1.24,21.06,708.19,12.91,1.52,19.63,93.2,ON,122400,35.1,217391,-65,MOUNTED
2026-09-01 10:10:00,16.89,1.10,18.58,711.29,12.87,1.34,17.26,92.9,ON,123000,34.7,221535,-62,MOUNTED
2026-09-01 10:20:00,16.77,0.90,15.09,713.80,12.80,1.09,13.97,92.6,ON,123600,34.2,223451,-62,MOUNTED
2026-09-01 10:30:00,16.59,0.62,10.29,715.52,12.71,0.75,9.50,92.3,ON,124200,33.5,213927,-63,MOUNTED
2026-09-01 10:40:00,16.50,0.47,7.75,716.81,12.66,0.56,7.14,92.1,ON,124800,31.6,221285,-66,MOUNTED
2026-09-01 10:50:00,16.35,0.23,3.76,717.44,12.58,0.27,3.45,91.8,ON,125400,30.8,214047,-66,MOUNTED
2026-09-01 11:00:00,0.24,0.00,0.00,717.44,12.37,-0.32,-3.96,0.0,ON,126000,32.2,218016,-65,MOUNTED
2026-09-01 11:10:00,0.21,0.00,0.00,717.44,12.41,-0.32,-3.97,0.0,ON,126600,31.3,217152,-67,MOUNTED
2026-09-01 11:20:00,0.18,0.00,0.00,717.44,12.42,-0.32,-3.97,0.0,ON,127200,30.8,213150,-64,MOUNTED
2026-09-01 11:30:00,0.20,0.00,0.00,717.44,12.34,-0.32,-3.95,0.0,ON,127800,32.0,223095,-63,MOUNTED
2026-09-01 11:40:00,0.19,0.00,0.00,717.44,12.35,-0.32,-3.95,0.0,ON,128400,31.5,212265,-62,MOUNTED
2026-09-01 11:50:00,0.24,0.00,0.00,717.44,12.41,-0.32,-3.97,0.0,ON,129000,31.1,224596,-67,MOUNTED
2026-09-01 12:00:00,0.18,0.00,0.00,717.44,12.42,-0.32,-3.97,0.0,ON,129600,32.0,224555,-62,MOUNTED
2026-09-01 12:10:00,0.17,0.00,0.00,717.44,12.38,-0.32,-3.96,0.0,ON,130200,31.5,213063,-67,MOUNTED
2026-09-01 12:20:00,0.22,0.00,0.00,717.44,12.31,-0.32,-3.94,0.0,ON,130800,32.1,218077,-66,MOUNTED
2026-09-01 12:30:00,0.19,0.00,0.00,717.44,12.32,-0.32,-3.94,0.0,ON,131400,30.8,225257,-64,MOUNTED
2026-09-01 12:40:00,0.17,0.00,0.00,717.44,12.40,-0.32,-3.97,0.0,ON,132000,31.4,221431,-65,MOUNTED
2026-09-01 12:50:00,0.18,0.00,0.00,717.44,12.44,-0.32,-3.98,0.0,ON,132600,31.9,220866,-63,MOUNTED
2026-09-01 13:00:00,0.19,0.00,0.00,717.44,12.30,-0.32,-3.94,0.0,ON,133200,31.7,218484,-62,MOUNTED
2026-09-01 13:10:00,0.20,0.00,0.00,717.44,12.40,-0.32,-3.97,0.0,ON,133800,31.0,217257,-65,MOUNTED
2026-09-01 13:20:00,0.18,0.00,0.00,717.44,12.34,-0.32,-3.95,0.0,ON,134400,31.6,219978,-67,MOUNTED
2026-09-01 13:30:00,0.19,0.00,0.00,717.44,12.37,-0.32,-3.96,0.0,ON,135000,31.4,220838,-64,MOUNTED
2026-09-01 13:40:00,0.17,0.00,0.00,717.44,12.40,-0.32,-3.97,0.0,ON,135600,31.3,225244,-66,MOUNTED
2026-09-01 13:50:00,0.19,0.00,0.00,717.44,12.33,-0.32,-3.95,0.0,ON,136200,32.2,212398,-62,MOUNTED
2026-09-01 14:00:00,0.22,0.00,0.00,717.44,12.41,-0.32,-3.97,0.0,ON,136800,30.9,217756,-67,MOUNTED
2026-09-01 14:10:00,0.15,0.00,0.00,717.44,12.32,-0.32,-3.94,0.0,ON,137400,31.9,216953,-66,MOUNTED
2026-09-01 14:20:00,0.17,0.00,0.00,717.44,12.42,-0.32,-3.97,0.0,ON,138000,30.9,224457,-63,MOUNTED
2026-09-01 14:30:00,0.19,0.00,0.00,717.44,12.38,-0.32,-3.96,0.0,ON,138600,31.3,213536,-63,MOUNTED
2026-09-01 14:40:00,0.25,0.00,0.00,717.44,12.38,-0.32,-3.96,0.0,ON,139200,31.1,213966,-67,MOUNTED
2026-09-01 14:50:00,0.21,0.00,0.00,717.44,12.39,-0.32,-3.96,0.0,ON,139800,31.7,220302,-62,MOUNTED
2026-09-01 15:00:00,0.18,0.00,0.00,717.44,12.42,-0.32,-3.97,0.0,ON,140400,31.8,219466,-66,MOUNTED
2026-09-01 15:10:00,0.25,0.00,0.00,717.44,12.40,-0.32,-3.97,0.0,ON,141000,31.0,214160,-65,MOUNTED
2026-09-01 15:20:00,0.20,0.00,0.00,717.44,12.36,-0.32,-3.96,0.0,ON,141600,31.0,212343,-64,MOUNTED
2026-09-01 15:30:00,0.17,0.00,0.00,717.44,12.41,-0.32,-3.97,0.0,ON,142200,32.1,217186,-66,MOUNTED
2026-09-01 15:40:00,0.24,0.00,0.00,717.44,12.32,-0.32,-3.94,0.0,ON,142800,31.1,220696,-67,MOUNTED
2026-09-01 15:50:00,0.23,0.00,0.00,717.44,12.44,-0.32,-3.98,0.0,ON,143400,31.9,216157,-66,MOUNTED
2026-09-01 16:00:00,0.23,0.00,0.00,717.44,12.31,-0.32,-3.94,0.0,ON,144000,31.1,215379,-66,MOUNTED
2026-09-01 16:10:00,0.21,0.00,0.00,717.44,12.39,-0.32,-3.96,0.0,ON,144600,31.1,221986,-63,MOUNTED
2026-09-01 16:20:00,0.18,0.00,0.00,717.44,12.39,-0.32,-3.96,0.0,ON,145200,31.2,219175,-65,MOUNTED
2026-09-01 16:30:00,0.25,0.00,0.00,717.44,12.44,-0.32,-3.98,0.0,ON,145800,31.9,216992,-65,MOUNTED
2026-09-01 16:40:00,0.20,0.00,0.00,717.44,12.35,-0.32,-3.95,0.0,ON,146400,31.7,212618,-63,MOUNTED
2026-09-01 16:50:00,0.15,0.00,0.00,717.44,12.35,-0.32,-3.95,0.0,ON,147000,31.7,218412,-65,MOUNTED
2026-09-01 17:00:00,0.20,0.00,0.00,0.00,12.37,-0.32,-3.96,0.0,ON,147600,31.6,215767,-62,MOUNTED
2026-09-01 17:10:00,0.18,0.00,0.00,0.00,12.32,-0.32,-3.94,0.0,ON,148200,31.2,215216,-63,MOUNTED
2026-09-01 17:20:00,0.24,0.00,0.00,0.00,12.33,-0.32,-3.95,0.0,ON,148800,31.0,216200,-67,MOUNTED
2026-09-01 17:30:00,0.19,0.00,0.00,0.00,12.40,-0.32,-3.97,0.0,ON,149400,31.3,223342,-62,MOUNTED
2026-09-01 17:40:00,0.22,0.00,0.00,0.00,12.30,-0.32,-3.94,0.0,ON,150000,31.2,225825,-63,MOUNTED
2026-09-01 17:50:00,0.24,0.00,0.00,0.00,12.35,-0.32,-3.95,0.0,ON,150600,30.9,224119,-65,MOUNTED
2026-09-01 18:00:00,0.21,0.00,0.00,0.00,12.38,-0.32,-3.96,0.0,ON,151200,32.1,218982,-65,MOUNTED
2026-09-01 18:10:00,0.19,0.00,0.00,0.00,12.42,-0.32,-3.97,0.0,ON,151800,31.6,223175,-67,MOUNTED
2026-09-01 18:20:00,0.19,0.00,0.00,0.00,12.44,-0.32,-3.98,0.0,ON,152400,31.9,223949,-66,MOUNTED
2026-09-01 18:30:00,0.25,0.00,0.00,0.00,12.32,-0.32,-3.94,0.0,ON,153000,31.3,215961,-62,MOUNTED
2026-09-01 18:40:00,0.18,0.00,0.00,0.00,12.38,-0.32,-3.96,0.0,ON,153600,32.0,221710,-65,MOUNTED
2026-09-01 18:50:00,0.23,0.00,0.00,0.00,12.39,-0.32,-3.96,0.0,ON,154200,31.5,225353,-66,MOUNTED
2026-09-01 19:00:00,0.17,0.00,0.00,0.00,12.36,-0.32,-3.96,0.0,ON,154800,31.3,220397,-66,MOUNTED
2026-09-01 19:10:00,0.22,0.00,0.00,0.00,12.33,-0.32,-3.95,0.0,ON,155400,32.2,220646,-65,MOUNTED
2026-09-01 19:20:00,0.15,0.00,0.00,0.00,12.33,-0.32,-3.95,0.0,ON,156000,32.2,223971,-66,MOUNTED
2026-09-01 19:30:00,0.23,0.00,0.00,0.00,12.31,-0.32,-3.94,0.0,ON,156600,32.2,217239,-63,MOUNTED
2026-09-01 19:40:00,0.16,0.00,0.00,0.00,12.37,-0.32,-3.96,0.0,ON,157200,31.3,220999,-67,MOUNTED
2026-09-01 19:50:00,0.19,0.00,0.00,0.00,12.33,-0.32,-3.95,0.0,ON,157800,31.8,213549,-62,MOUNTED
2026-09-01 20:00:00,0.21,0.00,0.00,0.00,12.32,-0.32,-3.94,0.0,ON,158400,31.7,222438,-62,MOUNTED
2026-09-01 20:10:00,0.16,0.00,0.00,0.00,12.31,-0.32,-3.94,0.0,ON,159000,32.1,221076,-63,MOUNTED
2026-09-01 20:20:00,0.16,0.00,0.00,0.00,12.38,-0.32,-3.96,0.0,ON,159600,31.6,220317,-66,MOUNTED
2026-09-01 20:30:00,0.18,0.00,0.00,0.00,12.32,-0.32,-3.94,0.0,ON,160200,32.1,220604,-67,MOUNTED
2026-09-01 20:40:00,0.15,0.00,0.00,0.00,12.37,-0.32,-3.96,0.0,ON,160800,31.8,215439,-64,MOUNTED
2026-09-01 20:50:00,0.18,0.00,0.00,0.00,12.40,-0.32,-3.97,0.0,ON,161400,32.1,219607,-62,MOUNTED
2026-09-01 21:00:00,0.17,0.00,0.00,0.00,12.43,-0.32,-3.98,0.0,ON,162000,32.0,215856,-64,MOUNTED
2026-09-01 21:10:00,0.16,0.00,0.00,0.00,12.33,-0.32,-3.95,0.0,ON,162600,31.4,223763,-64,MOUNTED
2026-09-01 21:20:00,0.16,0.00,0.00,0.00,12.41,-0.32,-3.97,0.0,ON,163200,31.3,225053,-67,MOUNTED
2026-09-01 21:30:00,0.21,0.00,0.00,0.00,12.30,-0.32,-3.94,0.0,ON,163800,32.2,214210,-63,MOUNTED
2026-09-01 21:40:00,0.18,0.00,0.00,0.00,12.33,-0.32,-3.95,0.0,ON,164400,31.5,224857,-65,MOUNTED
2026-09-01 21:50:00,0.22,0.00,0.00,0.00,12.41,-0.32,-3.97,0.0,ON,165000,31.4,214131,-65,MOUNTED
2026-09-01 22:00:00,0.24,0.00,0.00,0.00,12.36,-0.32,-3.96,0.0,ON,165600,31.0,222939,-66,MOUNTED
2026-09-01 22:10:00,0.23,0.00,0.00,0.00,12.45,-0.32,-3.98,0.0,ON,166200,31.6,212060,-62,MOUNTED
2026-09-01 22:20:00,0.18,0.00,0.00,0.00,12.37,-0.32,-3.96,0.0,ON,166800,31.5,224084,-64,MOUNTED
2026-09-01 22:30:00,0.24,0.00,0.00,0.00,12.37,-0.32,-3.96,0.0,ON,167400,31.9,225778,-67,MOUNTED
2026-09-01 22:40:00,0.25,0.00,0.00,0.00,12.35,-0.32,-3.95,0.0,ON,168000,32.2,217710,-64,MOUNTED
2026-09-01 22:50:00,0.25,0.00,0.00,0.00,12.35,-0.32,-3.95,0.0,ON,168600,31.1,225734,-64,MOUNTED
2026-09-01 23:00:00,16.20,0.00,0.00,0.00,12.50,0.00,0.00,91.5,ON,169200,31.8,219164,-63,MOUNTED
2026-09-01 23:10:00,16.33,0.21,3.43,0.57,12.57,0.25,3.15,91.8,ON,169800,31.5,218186,-66,MOUNTED
2026-09-01 23:20:00,16.50,0.48,7.92,1.89,12.66,0.58,7.29,92.1,ON,170400,31.0,218124,-64,MOUNTED
2026-09-01 23:30:00,16.63,0.68,11.31,3.78,12.73,0.82,10.44,92.3,ON,171000,33.0,221530,-64,MOUNTED
2026-09-01 23:40:00,16.77,0.91,15.26,6.32,12.80,1.10,14.13,92.6,ON,171600,34.1,212091,-62,MOUNTED
2026-09-01 23:50:00,16.94,1.19,20.16,9.68,12.90,1.45,18.73,92.9,ON,172200,34.0,213136,-64,MOUNTED
2026-09-02 00:00:00,17.00,1.27,21.59,13.28,12.92,1.56,20.12,93.2,ON,172800,33.9,225000,-62,MOUNTED
2026-09-02 00:10:00,17.17,1.55,26.61,17.71,13.02,1.91,24.88,93.5,ON,173400,34.8,218166,-67,MOUNTED
2026-09-02 00:20:00,17.37,1.87,32.48,23.13,13.12,2.32,30.43,93.7,ON,174000,36.8,217907,-65,MOUNTED
2026-09-02 00:30:00,17.36,1.85,32.12,28.48,13.12,2.30,30.19,94.0,ON,174600,36.8,212099,-63,MOUNTED
2026-09-02 00:40:00,17.57,2.19,38.48,34.89,13.23,2.74,36.25,94.2,ON,175200,37.2,218717,-66,MOUNTED
2026-09-02 00:50:00,17.76,2.48,44.04,42.23,13.33,3.12,41.62,94.5,ON,175800,37.2,217793,-62,MOUNTED
2026-09-02 01:00:00,17.87,2.66,47.53,50.16,13.39,3.37,45.06,94.8,ON,176400,38.4,220883,-67,MOUNTED
2026-09-02 01:10:00,17.86,2.64,47.15,58.01,13.38,3.35,44.79,95.0,ON,177000,38.4,225810,-65,MOUNTED
2026-09-02 01:20:00,17.99,2.85,51.27,66.56,13.45,3.63,48.81,95.2,ON,177600,38.4,218205,-66,MOUNTED
2026-09-02 01:30:00,18.18,3.15,57.27,76.10,13.55,4.04,54.69,95.5,ON,178200,40.2,221223,-63,MOUNTED
2026-09-02 01:40:00,18.28,3.32,60.69,86.22,13.61,4.27,58.08,95.7,ON,178800,39.6,219447,-66,MOUNTED
2026-09-02 01:50:00,18.23,3.23,58.88,96.03,13.58,4.16,56.47,95.9,ON,179400,40.3,224429,-62,MOUNTED
2026-09-02 02:00:00,18.37,3.46,63.56,106.63,13.65,4.47,61.08,96.1,ON,180000,40.6,214717,-67,MOUNTED
2026-09-02 02:10:00,18.64,3.89,72.51,118.71,13.80,5.06,69.83,96.3,ON,180600,42.3,225895,-65,MOUNTED
2026-09-02 02:20:00,18.76,4.07,76.35,131.44,13.86,5.32,73.68,96.5,ON,181200,43.1,212141,-62,MOUNTED
2026-09-02 02:30:00,18.68,3.95,73.79,143.73,13.82,5.16,71.35,96.7,ON,181800,41.9,212232,-62,MOUNTED
2026-09-02 02:40:00,18.68,3.95,73.79,156.03,13.82,5.17,71.43,96.8,ON,182400,42.6,222956,-64,MOUNTED
